;ISIN-код бумаги;Номинал;Доходность;Цена послед.;Дюрация;Лучш. пред;Спрос;Размер купона;Длит. купона;Дата выпл. куп.;НКД;Погашение;До погашения;Оборот;Заявки куп.;Заявки прод.;Общ. предл.;Общ. спрос;Доходность
Хакас2015;RU000A0JVUH4;800;8.63;0;460;105.44;105;24.43;91;10.07.2018;1.88;11.10.2020;908;0;27;15;16523;459;12.24855769
ВлгОб35006;RU000A0JVU65;700;7.24;0;521;107.37;106.1;21.36;91;04.05.2018;17.37;30.10.2020;927;0;9;1;68965;10144;12.23924647
ТулОбл2015;RU000A0JVUW3;550;6.56;0;249;103.99;103.01;16.55;90;30.04.2018;14.16;15.05.2019;393;0;9;8;3314;1224;12.20353535
БинбанкБП3;RU000A0JXTN0;1000;8.34;0;683;108.25;107.21;121.83;366;16.06.2018;101.86;17.06.2020;792;0;8;6;2206;3047;12.14971311
ОткрХОЛБО1;RU000A0JVPJ0;1000;765.87;0;301;12.98;11.58;181.2;546;12.02.2019;78.78;05.08.2025;2667;0;11;15;456;262;12.11318681
ОткрХОЛБО3;RU000A0JURM2;1000;472.47;0;281;35;21;181.2;546;23.01.2019;85.58;14.07.2027;3375;0;1;1;1;3;12.11318681
ОткрХОЛБО5;RU000A0JVP21;1000;607.7;0;0;15;12.02;181.2;546;31.01.2019;82.86;20.07.2028;3747;0;5;8;8;14;12.11318681
ОткрХОЛБП2;RU000A0JXYE9;1000;0;0;0;0;0;181.2;546;04.02.2019;81.5;23.07.2029;4115;0;0;0;0;0;12.11318681
ОткрХОЛБП3;RU000A0JXYG4;1000;0;0;0;0;0;181.2;546;04.02.2019;81.5;23.07.2029;4115;0;0;0;0;0;12.11318681
ОткрХОЛБП4;RU000A0JXYH2;1000;0;0;0;0;0;181.2;546;04.02.2019;81.5;22.07.2030;4479;0;0;0;0;0;12.11318681
ДельтКрБ25;RU000A0JVNB2;1000;4.45;0;102;102.1;97.01;60;181;28.07.2018;26.19;28.07.2025;2659;0;2;1;29923;2;12.09944751
БашнфтБО7;RU000A0JVHF5;1000;0;0;0;0;60;60.33;182;12.06.2018;41.77;03.06.2025;2604;0;1;0;0;20;12.09914835
КАМАЗ БО-4;RU000A0JVZC4;1000;2.97;105.49;213;105.49;103.1;60.33;182;28.05.2018;46.74;23.11.2020;951;1055;7;4;44;59;12.09914835
ПолюсБ1;RU000A0JVMD0;1000;7.66;0;996;112.8;108.78;60.33;182;12.07.2018;31.82;03.07.2025;2634;0;7;7;13495;513;12.09914835
ПолюсБ2;RU000A0JVM99;1000;7.62;0;996;113;112;60.33;182;12.07.2018;31.82;03.07.2025;2634;0;5;3;81960;613;12.09914835
ПолюсБ3;RU000A0JVMB4;1000;8.08;111.66;993;111.8;111.65;60.33;182;12.07.2018;31.82;03.07.2025;2634;1117;2;5;52025;503;12.09914835
Энел 1P-1R;RU000A0JVU08;1000;5.15;0;0;0;71.01;60.33;182;28.09.2018;5.97;28.09.2018;164;0;6;0;0;48;12.09914835
ЭнелР БО-5;RU000A0JVG97;1000;0;0;0;0;60.06;60.33;182;31.05.2018;45.75;22.05.2025;2592;0;1;0;0;1;12.09914835
ЭнелР БО-6;RU000A0JVGB6;1000;-4.81;0;44;101.82;99.08;60.33;182;31.05.2018;45.75;22.05.2025;2592;0;22;6;47801;275;12.09914835
Транснф 03;RU000A0JQCR1;1000;6.83;0;482;119.76;105.75;120.17;364;19.09.2018;69;18.09.2019;519;0;10;2;9;570;12.05001374
ОткрХОЛБО6;RU000A0JWX46;1000;0;0;0;0;0;149.87;455;26.10.2018;86.01;03.10.2036;6744;0;0;0;0;0;12.02253846
Дельта14ИП;RU000A0JUJG1;1000;7.5;0;1082;116;69;30.25;92;27.06.2018;6.9;27.03.2024;2171;0;1;1;8000;1;12.0013587
АбсолБO1P1;RU000A0JW1B8;1000;0;0;0;0;0;59.84;182;25.06.2018;37.15;25.12.2018;252;0;0;0;0;0;12.00087912
БашнфтБО3;RU000A0JVEQ9;1000;0;0;0;0;60;59.84;182;18.05.2018;49.64;09.05.2025;2579;0;1;0;0;20;12.00087912
БашнфтБО4;RU000A0JVFD4;1000;0;0;0;0;60;59.84;182;28.05.2018;46.36;19.05.2025;2589;0;1;0;0;20;12.00087912
ВолгКапПБ1;RU000A0JXUU3;1000;11.11;0;76;100.15;99.64;59.84;182;02.07.2018;34.85;27.06.2022;1532;0;2;2;1012;1001;12.00087912
ГарСтрой01;RU000A0ZYJ26;1000;11.29;0;49;0;0;59.84;182;05.06.2018;43.73;29.11.2022;1687;0;0;0;0;0;12.00087912
Европлан-4;RU000A0JTPG0;1000;12.31;0;0;0;0;59.84;182;22.08.2018;18.08;20.02.2019;309;0;0;0;0;0;12.00087912
МиратФБО-6;RU000A0JWF22;1000;8.38;0;345;103.65;102.23;59.84;182;27.04.2018;56.55;23.04.2021;1102;0;6;74;65436;37;12.00087912
О1пропфин1;RU000A0JU2F9;1000;22.11;0;107;98.96;94.51;59.84;182;02.08.2018;24.66;02.08.2018;107;0;15;7;1250;472;12.00087912
ОВК Фин Б1;RU000A0JUU25;1000;9.63;0;147;0;99.02;59.84;182;11.09.2018;11.51;10.09.2019;511;0;2;0;0;12;12.00087912
ПГК 02;RU000A0JVW22;1000;7.28;0;0;0;0;59.84;182;25.04.2018;57.21;15.10.2025;2738;0;0;0;0;0;12.00087912
РЕСОЛизБ02;RU000A0JWPF6;1000;0;0;0;0;0;59.84;182;06.08.2018;23.34;27.07.2026;3023;0;0;0;0;0;12.00087912
СТТ БО-2;RU000A0ZYB81;1000;0;0;0;0;60.06;59.84;182;25.09.2018;6.9;20.09.2022;1617;0;1;0;0;1;12.00087912
СТТ БО-3;RU000A0ZYL30;1000;0;0;0;0;60.06;59.84;182;20.06.2018;38.79;14.12.2022;1702;0;1;0;0;1;12.00087912
СТТ БО-5;RU000A0ZYLR2;1000;0;0;0;0;60.06;59.84;182;25.06.2018;37.15;19.12.2022;1707;0;1;0;0;1;12.00087912
СамолетБП1;RU000A0JXRF0;1000;11.67;0;795;0;63;29.92;91;22.05.2018;18.41;17.05.2022;1491;0;1;0;0;1;12.00087912
ТранФинМ29;RU000A0JWX79;1000;0;0;0;0;0;59.84;182;01.05.2018;55.23;01.11.2019;563;0;0;0;0;0;12.00087912
ТрансФБО43;RU000A0JWEG8;1000;0;0;0;0;0;59.84;182;23.04.2018;57.86;13.04.2026;2918;0;0;0;0;0;12.00087912
УниверКап1;RU000A0JUH97;1000;17.03;0;0;0;96.5;59.84;182;05.09.2018;13.48;06.03.2019;323;0;2;0;0;2;12.00087912
ФПКГарИнP2;RU000A0JXW46;1000;12.04;0;427;100;0;59.84;182;19.07.2018;29.26;18.07.2019;457;0;0;1;3000;0;12.00087912
ТГК-2 БО-2;RU000A0JU7L6;375;12.47;99.94;178;99.85;99.6;22.44;182;27.04.2018;21.21;26.04.2019;374;14990;32;24;15451;5621;12.00087912
BCS 08/20;XS1654237129;350000;0;0;0;0;0;20827.4;181;16.08.2018;0;16.08.2020;852;0;0;0;0;0;12.00000158
БинбанкБ02;RU000A0JU0N7;1000;8.41;0;160;101.5;101.36;60.49;184;24.09.2018;7.89;24.09.2025;2717;0;21;16;69963;8977;11.999375
СТТ 03;RU000A0JXPT5;1000;9.96;0;646;104.57;104.1;60.16;183;28.04.2018;56.55;27.04.2022;1471;0;6;5;4050;4035;11.99912568
ОткрХОЛ 4;RU000A0JTH82;1000;360.22;0;0;48.01;0;149.24;455;19.12.2018;67.76;08.12.2027;3522;0;0;2;14;0;11.972
ОткрХОЛБП1;RU000A0JXTG4;1000;199.09;0;0;0;40.7;149.24;455;12.12.2018;70.07;26.05.2032;5153;0;1;0;0;1;11.972
Дельта15ИП;RU000A0JUW23;1000;7.33;0;1342;0;0;29.72;91;10.07.2018;2.29;10.10.2024;2368;0;0;0;0;0;11.92065934
ВертолетБ1;RU000A0JW3A6;1000;8.84;0;0;0;118.02;59.34;182;26.07.2018;26.73;15.01.2026;2830;0;4;0;0;56;11.9006044
ИКС5ФинБО4;RU000A0JVUX1;1000;7.07;0;0;0;90.01;59.34;182;16.10.2018;0;11.10.2022;1638;0;4;0;0;21;11.9006044
МЕТАЛИНБ07;RU000A0JW5H6;1000;8.69;0;0;0;119.07;59.34;182;23.08.2018;17.61;12.02.2026;2858;0;1;0;0;37;11.9006044
МЕТАЛИНБ01;RU000A0JVWN8;1000;9.75;0;0;0;106.82;59.09;182;01.05.2018;54.54;21.10.2025;2744;0;1;0;0;44;11.85046703
ОткрХОЛ 2;RU000A0JS264;1000;857.37;0;247;15.99;12.04;177.27;546;20.12.2018;95.05;10.12.2026;3159;0;10;57;277;133;11.85046703
ОткрХОЛБО2;RU000A0JVDR9;1000;1792.37;0;198;12.99;11.17;177.27;546;01.11.2018;111.36;20.04.2028;3656;0;10;14;343;179;11.85046703
РусГидрБП1;RU000A0JVLE0;1000;5.63;0;0;0;80;59.09;182;04.07.2018;33.76;04.07.2018;78;0;4;0;0;80;11.85046703
РусГидрБП2;RU000A0JVLF7;1000;0;0;0;0;80;59.09;182;04.07.2018;33.76;04.07.2018;78;0;5;0;0;100;11.85046703
РусГидрБП3;RU000A0JVLG5;1000;0;0;0;0;80;59.09;182;04.07.2018;33.76;04.07.2018;78;0;5;0;0;100;11.85046703
ЛнССМУБ1P1;RU000A0JWLG3;1000;8.8;106.5;708;106.49;104.6;29.54;91;21.06.2018;8.44;17.06.2021;1157;1065;4;30;145725;4511;11.84846154
КОМИ 12 об;RU000A0JVKF9;700;7.47;108.75;736;108.75;106.53;41.19;182;06.08.2018;16.07;23.06.2021;1163;2284;8;4;258;106;11.80090267
ПГК 03;RU000A0JVWT5;1000;7.41;0;792;0;75.01;58.84;182;03.05.2018;53.67;23.10.2025;2746;0;2;0;0;2;11.80032967
ВоронежОб7;RU000A0JUWK6;500;7.7;0;445;105.45;104.8;14.65;91;14.07.2018;0.48;14.10.2019;545;0;17;14;68383;7022;11.7521978
Апт36и6БО3;RU000A0JVEY3;1000;11.7;0;36;103.97;100;58.59;182;23.05.2018;47;23.05.2018;36;0;8;3;4;350;11.75019231
БинбанкБ10;RU000A0JVFS2;1000;7.47;0;50;100.5;100;58.59;182;06.06.2018;42.49;02.06.2021;1142;0;5;1;92;7003;11.75019231
БинбанкБ11;RU000A0JVFX2;1000;7.47;0;50;0;100;58.59;182;06.06.2018;42.49;02.06.2021;1142;0;6;0;0;7012;11.75019231
БинбанкБ12;RU000A0JVGJ9;1000;9.13;0;50;100.96;100;58.59;182;06.06.2018;42.49;02.06.2021;1142;0;10;3;39573;7015;11.75019231
БинбанкБ13;RU000A0JVGK7;1000;10.59;0;50;110.01;100;58.59;182;06.06.2018;42.49;02.06.2021;1142;0;5;1;135;7003;11.75019231
БинбанкБ14;RU000A0JVBS1;1000;8.25;100.4;43;100.38;100.04;58.59;182;30.05.2018;44.75;26.05.2021;1135;395564;15;29;12652;3270;11.75019231
ЕвропланБ7;RU000A0JWVL2;1000;8.22;0;175;101.99;101.01;58.59;182;09.10.2018;2.25;29.09.2026;3087;0;11;6;25414;5223;11.75019231
Лента 1 об;RU000A0JTR72;1000;6.1;0;140;102.12;70.01;58.59;182;04.09.2018;13.52;03.03.2020;686;0;5;2;5050;37;11.75019231
Лента 3 об;RU000A0JTQB9;1000;6.16;102;133;101.55;101.01;58.59;182;28.08.2018;15.77;25.02.2020;679;50954;17;7;1685;281;11.75019231
РЕСО-Гар03;RU000A0JTTV1;1000;7.1;0;336;104.3;75.01;58.59;182;28.09.2018;5.79;24.03.2023;1802;0;2;1;1;2;11.75019231
РЖД-23 обл;RU000A0JQRD9;1000;5.6;0;100;101.65;101.36;58.59;182;26.07.2018;26.4;16.01.2025;2466;0;6;7;14115;60238;11.75019231
ВостЭксБО7;RU000A0JU146;1000;11.86;0;0;0;98;58.34;182;17.07.2018;29.17;17.07.2018;91;0;1;0;0;10;11.70005495
КрасЯрКр11;RU000A0JVWM0;1000;7.79;0;507;106.75;105.55;29.17;91;01.05.2018;24.68;29.10.2019;560;0;14;4;2082;4118;11.70005495
ЛидерИнБП2;RU000A0ZYU39;1000;10.93;0;900;103;101.59;58.34;182;22.08.2018;17.63;15.02.2023;1765;0;13;3;46;2511;11.70005495
Мордовия03;RU000A0JWSQ7;1000;8.34;0;792;108.53;107.95;29.17;91;08.06.2018;12.5;03.09.2021;1235;0;13;38;18567;3790;11.70005495
О'КЕЙ-Б06;RU000A0JWCK4;1000;8.61;0;175;101.59;101;58.34;182;09.10.2018;2.24;06.04.2021;1085;0;8;2;25442;5148;11.70005495
Хакас2016;RU000A0JWXQ7;1000;8.48;113.25;1325;113.24;113.18;29.17;91;03.05.2018;24.04;02.11.2023;2025;10193;15;25;26072;401;11.70005495
ВЭБ ПБО1Р1;RU000A0JW6P7;1000;11.59;0;0;0;101;115.68;364;25.02.2019;15.89;17.02.2025;2498;0;3;0;0;605;11.59978022
НорНик БО5;RU000A0JW5C7;1000;9.66;0;0;0;110.03;57.84;182;17.08.2018;19.07;06.02.2026;2852;0;8;0;0;223;11.59978022
МРСКУр Б02;RU000A0JVYM6;1000;0;0;0;0;0;57.74;182;22.05.2018;46.64;11.11.2025;2765;0;0;0;0;0;11.57972527
МРСКЦенБО4;RU000A0JVYL8;1000;0;0;0;0;70;57.74;182;22.05.2018;46.64;11.11.2025;2765;0;1;0;0;1;11.57972527
КраснЯрКр9;RU000A0JUVM4;600;7.8;0;167;102.09;101.53;34.41;182;01.10.2018;2.84;01.10.2018;167;0;13;12;40506;5360;11.50151099
ИА ФабИЦБ2;RU000A0ZYJT2;1000;-79.14;0;11;0;105.4;44.74;142;28.04.2018;41.27;28.04.2046;10238;0;1;0;0;1;11.50007042
АВТОБФ БП1;RU000A0JXQ51;1000;11.81;0;345;100.49;100;57.34;182;27.04.2018;54.19;19.04.2024;2194;0;3;4;4588;3601;11.49950549
КАМАЗ БО-5;RU000A0JVHX8;1000;5.18;0;59;0;98.27;57.34;182;15.06.2018;38.75;12.06.2020;787;0;8;0;0;30;11.49950549
КИТФКапБО9;RU000A0JX2K6;1000;17.94;0;64;99.5;66.01;57.34;182;20.06.2018;37.18;09.12.2026;3158;0;3;1;50;31;11.49950549
КонцесВ 03;RU000A0JWVB3;1000;0;0;0;0;0;114.68;364;05.10.2018;60.81;07.04.2031;4738;0;0;0;0;0;11.49950549
МОСТРЕСТ 7;RU000A0JWN63;1000;8.64;0;426;103.74;101.55;57.34;182;17.07.2018;28.67;07.07.2026;3003;0;7;6;18851;4284;11.49950549
ОГК2 Б1P1R;RU000A0JVYN4;1000;-14.48;0;35;102.7;86.99;57.34;182;22.05.2018;46.32;17.11.2020;945;0;6;1;1;33;11.49950549
ОГК2 Б1P2R;RU000A0JVYP9;1000;6.14;0;35;100.45;100.3;57.34;182;22.05.2018;46.32;17.11.2020;945;0;2;3;79864;120;11.49950549
ОДК 03;RU000A0JWDB1;1000;0;0;0;0;0;57.34;182;22.06.2018;36.55;26.06.2024;2262;0;0;0;0;0;11.49950549
РЕГИОН БО6;RU000A0JWWJ4;1000;0;0;0;0;0;57.34;182;20.04.2018;56.4;15.10.2021;1277;0;0;0;0;0;11.49950549
РЕГИОН БО7;RU000A0JWWH8;1000;0;0;0;0;0;57.34;182;20.04.2018;56.4;15.10.2021;1277;0;0;0;0;0;11.49950549
СамолетБП2;RU000A0ZYEM8;1000;11.97;0;0;0;63;28.67;91;03.05.2018;23.63;27.10.2022;1654;0;1;0;0;1;11.49950549
ОткрХОЛ 6;RU000A0JU2N3;1000;2257.42;0;205;17.54;11.06;142.7;455;08.11.2018;77.78;27.07.2028;3754;0;4;16;246;42;11.44736264
ХМАО 09;RU000A0JUWB5;300;6.52;0;290;103.99;103.07;8.53;91;15.07.2018;0.19;13.10.2019;544;0;13;9;10877;50555;11.40457875
Башкорт9об;RU000A0JUWT7;450;6.76;0;260;103.97;102.51;12.79;91;12.07.2018;0.7;11.04.2019;359;0;13;4;49;319;11.4001221
Новсиб2014;RU000A0JUR46;550;4.39;0;283;105.49;102.63;15.63;91;14.07.2018;0.52;08.10.2019;539;0;11;4;5298;5407;11.3985015
БалтЛизБП1;RU000A0JXT17;1000;10.71;0;508;101.42;100.12;28.3;91;07.06.2018;12.44;04.06.2020;779;0;8;8;1078;13999;11.3510989
Райфб-БО2;RU000A0JVGY8;1000;0;0;0;0;85;28.61;92;11.06.2018;11.51;11.06.2018;55;0;4;0;0;110;11.35070652
МарЭл2014;RU000A0JUMW2;100;6.89;101;81;100.99;100.82;2.82;91;07.07.2018;0.31;07.07.2018;81;101;20;11;2657;6930;11.31098901
СПбТел 02;RU000A0JRKD2;1000;8.31;0;395;103.99;102.5;56.35;182;15.06.2018;38.08;11.06.2021;1151;0;2;9;54533;16;11.30096154
СПбТел 03;RU000A0JRKM3;1000;8.31;0;395;103.79;81.01;56.35;182;15.06.2018;38.08;11.06.2021;1151;0;4;16;20827;9;11.30096154
ИНГР Б1P1;RU000A0ZYG37;1000;6.43;0;35;100.45;100;56.1;182;22.05.2018;45.31;09.11.2027;3493;0;3;3;3100;2183;11.25082418
ПИК БО-П02;RU000A0JXQ93;1000;9.48;104.89;839;104.48;104.88;28.05;91;27.04.2018;24.97;22.04.2022;1466;30417;19;16;6568;7181;11.25082418
РоссетиБО5;RU000A0JVZ94;1000;9.89;0;0;0;68;56.1;182;25.05.2018;44.38;14.11.2025;2768;0;1;0;0;1;11.25082418
СПбТел 01;RU000A0JRKC4;1000;7.07;0;59;100.65;100.31;56.1;182;15.06.2018;37.91;11.06.2021;1151;0;4;3;75731;1471;11.25082418
КонцесВ 01;RU000A0JVZJ9;1000;11.01;0;0;0;65;112.19;364;01.12.2018;41.92;30.11.2030;4610;0;1;0;0;1;11.24982143
БалтЛиз1;RU000A0JUQ13;700;11.5;0;0;0;61.01;19.63;91;22.06.2018;5.39;19.06.2020;794;0;2;0;0;2;11.24795918
БалтЛиз2;RU000A0JUQ21;700;11.5;0;0;0;65.01;19.63;91;22.06.2018;5.39;19.06.2020;794;0;3;0;0;3;11.24795918
КАМАЗ 12;RU000A0JVP39;1000;0;0;0;0;70;56.05;182;02.08.2018;23.1;18.07.2030;4475;0;2;0;0;11;11.2407967
КОМИ 11 об;RU000A0JUN81;300;7.25;103;273;102.9;102.43;8.38;91;31.05.2018;4.33;27.11.2019;589;309;14;11;23818;2488;11.2040293
РЖД БО-02;RU000A0JVW71;1000;7.01;0;650;0;100;55.85;182;26.04.2018;53.08;16.10.2025;2739;0;1;0;0;200;11.20068681
RUS-18;XS0089375249;1000;7.15;0;0;0;0;55;180;24.07.2018;1579.4748;24.07.2018;98;0;0;0;0;0;11.15277778
МОСТРЕСТ 8;RU000A0JWN89;1000;8.49;0;1028;108.44;104;55.6;182;08.08.2018;21.08;29.07.2026;3025;0;3;9;1124;555;11.15054945
БинбанкБП5;RU000A0JXXV5;1000;6.88;0;93;101.15;100.7;9.47;31;21.04.2018;8.25;21.07.2018;95;0;12;4;2005;2448;11.15016129
БинбанкБ03;RU000A0JRZ74;1000;5.68;101.32;90;101.23;100.08;55.29;181;16.07.2018;27.8;16.07.2025;2647;65858;19;4;133873;5112;11.14964088
БинбанкБП4;RU000A0JXUT5;1000;6.8;0;76;100.98;100.71;9.16;30;03.05.2018;4.28;03.07.2018;77;0;25;20;8336;9664;11.14466667
Мечел  4об;RU000A0JQ8V9;700;0;0;0;0;0;19.42;91;19.04.2018;18.99;15.07.2021;1185;0;0;0;0;0;11.12762951
АтомэнпБО7;RU000A0JW167;1000;9.34;0;0;0;71;55.35;182;22.06.2018;35.28;12.12.2025;2796;0;2;0;0;2;11.10041209
АтомэнпБО8;RU000A0JW175;1000;9.49;0;0;0;100;55.35;182;22.06.2018;35.28;12.12.2025;2796;0;1;0;0;10;11.10041209
ГТЛК БО-08;RU000A0JWST1;1000;7.77;0;1067;111;110.21;55.35;182;11.09.2018;10.64;01.09.2026;3059;0;2;4;6300;3000;11.10041209
ОткрФКББ07;RU000A0JV573;1000;7.83;0;93;100.78;99.01;55.35;182;19.07.2018;27.07;13.01.2022;1367;0;2;3;138;103;11.10041209
РСХБ БО13;RU000A0JUW31;1000;6.94;0;501;106;100.02;27.67;91;06.07.2018;3.35;27.09.2024;2355;0;10;2;89510;739;11.09840659
РСХБ БО14;RU000A0JUW72;1000;7.12;0;502;104.75;100.02;27.67;91;09.07.2018;2.43;30.09.2024;2358;0;27;3;10953;1239;11.09840659
ВСК 01P-01;RU000A0JXNB8;1000;4.93;102.89;175;102.89;100.01;55.1;182;09.10.2018;2.12;05.04.2022;1449;102890;3;6;7661;11;11.05027473
ИА ТКБ-2 А;RU000A0JWC25;534.47;-41.74;0;0;0;0;14.34;89;14.05.2018;9.99;14.02.2047;10530;0;0;0;0;0;11.00344498
ИАМлтор1А4;RU000A0JWF30;648.19;-53.37;0;0;0;0;17.39;89;17.05.2018;11.53;17.11.2045;10076;0;0;0;0;0;11.00272132
ИА ТФБ1 А;RU000A0JV508;389.44;-10.63;0;0;0;63;10.8;92;26.06.2018;2.58;26.03.2047;10570;0;1;0;0;1;11.00242042
АбсолБO1P2;RU000A0JW506;1000;0;0;0;0;0;54.55;181;17.08.2018;17.78;17.02.2019;306;0;0;0;0;0;11.00041436
АбсолютБО3;RU000A0JTXR1;1000;11.07;0;41;100;99.01;54.55;181;28.05.2018;42.19;28.05.2018;41;0;4;6;20479;213;11.00041436
ДельтКрБ20;RU000A0JWGS8;1000;6.73;0;369;104.4;0;54.55;181;18.05.2018;45.21;18.05.2026;2953;0;0;1;49914;0;11.00041436
Росинтруд1;RU000A0JUQN2;1000;11.29;0;110;0;65.01;54.55;181;05.08.2018;21.4;05.02.2021;1025;0;2;0;0;2;11.00041436
iСЛТ 1Р1;RU000A0ZYLD2;1000;11.31;99.95;773;99.54;99.73;54.85;182;21.06.2018;35.26;17.12.2020;975;630221;25;21;14468;5023;11.00013736
Веста 01;RU000A0JS1S8;1000;10.8;0;0;0;63;109.7;364;14.12.2018;37.07;04.12.2026;3153;0;1;0;0;1;11.00013736
КрЕврБ-Б14;RU000A0JVFF9;1000;0;0;0;0;0;54.85;182;05.06.2018;40.08;05.06.2018;49;0;0;0;0;0;11.00013736
Лента 2 об;RU000A0JTR80;1000;7.75;0;0;0;63.01;54.85;182;04.09.2018;12.66;03.03.2020;686;0;3;0;0;22;11.00013736
МиратФБО-7;RU000A0JWRH8;1000;0;0;0;0;60;54.85;182;28.08.2018;14.77;24.08.2021;1225;0;1;0;0;20;11.00013736
Приам 01;RU000A0JS1J7;1000;13.28;0;0;0;63;109.7;364;13.12.2018;37.37;03.12.2026;3152;0;1;0;0;1;11.00013736
РСГ-ФинБ4;RU000A0ZYLB6;1000;11.3;99.98;836;85.01;99.95;54.85;182;21.06.2018;35.26;17.12.2020;975;134987;39;9;14793;2839;11.00013736
ТБС 01;RU000A0JUJP2;1000;11.15;0;44;100;63;54.85;182;31.05.2018;41.59;26.11.2020;954;0;1;1;1;1;11.00013736
ТрансФБО27;RU000A0JWLW0;1000;5.75;0;0;0;64.01;54.85;182;27.06.2018;33.45;23.06.2021;1163;0;2;0;0;2;11.00013736
ТрансФБО30;RU000A0JUR04;1000;11.23;0;0;0;96.29;54.85;182;13.07.2018;28.63;05.07.2024;2271;0;1;0;0;10;11.00013736
ТрансФБО38;RU000A0JV4S7;1000;11.13;0;0;0;0;54.85;182;10.07.2018;29.53;31.12.2024;2450;0;0;0;0;0;11.00013736
КонцесВ 05;RU000A0ZYHU4;1000;0;0;0;0;0;110;365;04.12.2018;40.38;10.08.2031;4863;0;0;0;0;0;11
КонцесТ 02;RU000A0ZYH51;1000;0;0;0;0;0;110;365;29.11.2018;41.89;11.11.2032;5322;0;0;0;0;0;11
ВСИА2012 Б;RU000A0JUD34;1000;0;0;0;0;0;26.82;89;11.05.2018;19.59;11.08.2046;10343;0;0;0;0;0;10.99921348
ГТЛК 1P-03;RU000A0JXE06;1000;7.89;115.47;1605;115.12;115.14;27.42;91;10.05.2018;20.49;22.01.2032;5028;89804;14;14;6696;4226;10.99813187
ГТЛК БО-05;RU000A0JVWD9;1000;7.89;0;1539;115;114.02;27.42;91;27.04.2018;24.41;17.10.2025;2740;0;5;3;9000;3009;10.99813187
ЕврфНедвБ1;RU000A0JVWE7;1000;11.3;0;0;0;62;27.42;91;27.04.2018;24.41;23.10.2020;920;0;1;0;0;1;10.99813187
Оренб35002;RU000A0JUPE3;500;5.26;0;432;107.01;103.76;13.71;91;18.06.2018;4.37;14.06.2021;1154;0;11;1;89;6158;10.99813187
ИАСОЮЗ-1А;RU000A0JV664;331.6;-3.06;0;0;0;63;9.19;92;28.06.2018;2;28.12.2041;8656;0;1;0;0;1;10.99527325
МЕТАЛИНБ02;RU000A0JWBF6;1000;8.13;0;946;109;107.5;54.6;182;25.09.2018;6.3;17.03.2026;2891;0;1;2;10000;1000;10.95
МЕТАЛИНБ08;RU000A0JWBE9;1000;8.13;0;946;109;107.5;54.6;182;25.09.2018;6.3;17.03.2026;2891;0;1;2;10000;1000;10.95
ВЭБ ПБО1Р2;RU000A0JWG96;1000;7.07;0;358;104;103.51;27.18;91;04.05.2018;22.1;03.05.2019;381;0;8;3;55669;178;10.90186813
ГТЛК БО-03;RU000A0JV375;1000;0;0;0;0;61;27.18;91;19.06.2018;8.36;10.12.2024;2429;0;1;0;0;1;10.90186813
БашнфтБО6;RU000A0JWGC2;1000;9.4;0;0;0;70.01;54.35;182;09.05.2018;47.78;29.04.2026;2934;0;3;0;0;77;10.89986264
БашнфтБО8;RU000A0JWGD0;1000;9.15;0;0;0;0;54.35;182;09.05.2018;47.78;29.04.2026;2934;0;0;0;0;0;10.89986264
ИКС5ФинБО5;RU000A0JW9G0;1000;6.43;0;149;101.8;66.75;54.35;182;13.09.2018;9.85;09.03.2023;1787;0;2;3;6596;2;10.89986264
КИТФКапБО7;RU000A0JWWR7;1000;10.12;0;0;0;66;54.35;182;24.04.2018;52.26;13.10.2026;3101;0;2;0;0;30;10.89986264
Калаш БП1;RU000A0JXPU3;1000;6.72;107.98;652;105.5;105.02;54.35;182;26.04.2018;51.66;21.04.2022;1465;58061;16;6;7493;8033;10.89986264
РСХБ 8;RU000A0JQK64;1000;6.4;0;30;100.35;100.2;54.35;182;17.05.2018;45.39;14.11.2019;576;0;24;3;3958;725;10.89986264
РСХБ 9;RU000A0JQK72;1000;6.4;0;30;100.77;97.96;54.35;182;17.05.2018;45.39;14.11.2019;576;0;5;3;3657;47;10.89986264
СистемБ1P2;RU000A0JVXZ0;1000;8.28;0;0;0;63;54.35;182;11.05.2018;47.18;31.10.2025;2754;0;1;0;0;1;10.89986264
КраснЯрКр8;RU000A0JUMN1;300;6.84;100.93;82;100.87;100.83;8.42;94;08.07.2018;1.08;08.07.2018;82;49653;14;18;7360;28775;10.89822695
ТелХолПБО2;RU000A0JX108;1000;0;0;0;0;60.06;54.1;182;06.06.2018;39.24;01.12.2021;1324;0;1;0;0;3;10.84972527
РенКредБО5;RU000A0JU1P0;1000;8.02;0;104;100.8;65.08;53.8;181;30.07.2018;22.89;30.07.2018;104;0;4;3;293;109;10.84917127
ДОМ.РФ30об;RU000A0JUKX4;1000;7.13;0;221;102.45;80.01;27.1;92;01.06.2018;13.84;01.03.2033;5432;0;5;1;5000;15;10.75163043
ГеотекС 1;RU000A0JU807;770;61.14;0;79;92;91.05;20.64;91;18.04.2018;20.41;16.10.2019;547;0;27;62;3827;1674;10.75153418
ИА Вега2 А;RU000A0JWKP6;474.2;-88.53;0;0;0;67;4.33;31;26.04.2018;3.07;26.08.2040;8167;0;1;0;0;1;10.75121427
ИАМлтор1А3;RU000A0JVTM6;402.26;-1.02;0;0;0;63;10.9;92;24.06.2018;2.84;24.12.2047;10843;0;1;0;0;1;10.75040154
